PRODUTC,VALUE,DATETIME,CELL_ON_SITE,DW_A_NUMBER_INT,DW_B_NUMBER_INT,COUNTRY_A,COUNTRY_B,CELL_ID,SITE_ID
sms,0,24:36.0,1,af48395f2e2f94b,3e78f6ad15ab2d2,19e2e,19e2e,7ivh8SIq8X,7ivh8SIq8X
Voice,1,25:04.0,2,1fc3469d46d6d42,5bf286c0ab1ded0,19e2e,19e2e,4nmbKTjvfr,4nmbKTjvfr
Voice,18,25:17.0,4,b381fc171b8645d,e45a08bf279a23b,19e2e,19e2e,4oRa9YwYR4,4oRa9YwYR4
Voice,0,25:22.0,2,da9ddf67024b0a3,05b536989c57ec4,19e2e,19e2e,+38u2u/rfx,+38u2u/rfx
sms,0,25:26.0,0,fa36eaef5c7a632,93343ba6e41af95,19e2e,19e2e,0Fmr/IZtQ+,0Fmr/IZtQ+
sms,0,25:26.0,0,8ab8b9ed6989f61,e09e736e46c5c3d,19e2e,19e2e,2cj/HbqLAV,2cj/HbqLAV
Voice,0,25:32.0,3,d6ab0eb5e65e5ab,d24d2c4ccb76e59,19e2e,19e2e,13HRN5dKgY,13HRN5dKgY
Voice,0,25:37.0,2,152d0b75d6d7925,d0756b8fb9da34e,19e2e,19e2e,1AX75JmPtt,1AX75JmPtt
sms,0,25:41.0,2,3c0d5f90d5f489d,7455bef91dfcb46,19e2e,19e2e,0/eYPFomxx,0/eYPFomxx
Voice,48,25:42.0,3,b853dbfa246db75,4dceb7c15e62e45,19e2e,19e2e,/EkqCbWDau,/EkqCbWDau
sms,0,25:54.0,0,11875cd0f175e29,81e2f66022f808b,19e2e,19e2e,3yeW6Punpk,3yeW6Punpk
sms,0,25:54.0,2,799695c2d24b9a9,e09e736e46c5c3d,19e2e,19e2e,6wx/uwX8LG,6wx/uwX8LG
data,0,25:55.0,_,a0958bc5dd65339,5a4dc9e82deb309,19e2e,OTHER,0MZBLLzPYZ,0MZBLLzPYZ
Voice,82,26:06.0,4,319a36b36774fc9,41e130ca0af95ac,19e2e,19e2e,8X69F2OHjn,8X69F2OHjn
sms,25,26:06.0,0,fcfbe6987fff855,abeeb46fb9eaf68,19e2e,19e2e,A0Zx8a4rBD,A0Zx8a4rBD
Voice,0,26:11.0,1,259194bb72f6579,055dfd7d7399db8,19e2e,19e2e,08dxZmJxU8,08dxZmJxU8
sms,0,26:35.0,0,f0e3051a1f22a79,d164ed0a0cf2360,19e2e,19e2e,/lW1z7T9L8,/lW1z7T9L8
Voice,0,26:38.0,2,90b9b099e684897,32a16be8ed60d14,19e2e,19e2e,6hDV1hwf/K,6hDV1hwf/K
Voice,0,26:54.0,0,42e2cdeee77b0ea,e8145119b988c93,19e2e,19e2e,9/CstAxGD8,9/CstAxGD8
sms,0,26:58.0,4,16f572fe5d861cd,aaaf0e4bdec7311,19e2e,19e2e,6I6iMT9PAR,6I6iMT9PAR
Voice,0,26:59.0,1,9f2c98286871c2f,479c273f34b22e3,19e2e,19e2e,2Sal9YobRK,2Sal9YobRK
Voice,34,27:22.0,0,7c13901d94d9ca4,db73528ce4153ab,19e2e,19e2e,C8grE5ZbNp,C8grE5ZbNp
Voice,2,27:24.0,0,027a94f834f60bd,48d30ce415d2145,19e2e,19e2e,#NAME?,#NAME?
sms,0,27:42.0,3,7ee54d191243d17,f7b2bbad76fce09,19e2e,19e2e,93mO70RgHR,93mO70RgHR
Voice,0,27:44.0,1,caad4296578597d,c175b1c8b8bffe0,19e2e,19e2e,3/2ZhYCSrj,3/2ZhYCSrj
Voice,0,27:49.0,0,a35d8784299ed17,e168723b9ccbef8,19e2e,19e2e,A7EpsaGbRr,A7EpsaGbRr
